RunCount,VectorObs,VectorObsCurriculum,Raycast,RaycastCurriculum
1,60.001182556,60.001182556,60.001182556,60.001182556
2,13.3801165,60.001182556,14.8201494,14.8201494
3,38.1806831,60.001182556,60.001182556,60.001182556
4,41.1807518,60.001182556,60.001182556,60.001182556
5,60.001182556,60.001182556,60.001182556,60.001182556
6,60.001182556,60.001182556,7.7799935,21.8203087
7,60.001182556,26.2204094,60.001182556,60.001182556
8,60.001182556,60.001182556,24.9403801,23.02033615
9,60.001182556,60.001182556,60.001182556,10.740056
10,60.001182556,60.001182556,60.001182556,60.001182556
11,16.8201942,60.001182556,41.06074905,60.001182556
12,32.100544,33.1405678,53.7010384,37.5806694
13,60.001182556,14.8801508,31.04051971,31.0005187988
14,60.001182556,60.001182556,24.4403687,27.3604355
15,60.001182556,60.001182556,60.001182556,60.001182556
16,60.001182556,60.001182556,60.001182556,60.001182556
17,60.001182556,60.001182556,18.7202377,14.760148
18,5.9199953,60.001182556,4.7599964,7.279994
19,60.001182556,60.001182556,33.7205811,60.001182556
20,28.1604538,60.001182556,60.001182556,60.001182556
21,60.001182556,60.001182556,60.001182556,60.001182556
22,60.001182556,60.001182556,7.279994,7.279994
23,4.7599964,60.001182556,11.08006382,11.08006382
24,60.001182556,60.001182556,60.001182556,60.001182556
25,48.6009216,60.001182556,10.520051,19.1602478
26,60.001182556,60.001182556,5.4399958,5.4399958
27,60.001182556,60.001182556,60.001182556,60.001182556
28,60.001182556,60.001182556,60.001182556,14.04013157
29,60.001182556,60.001182556,4.8399963,4.4799967
30,7.319994,60.001182556,60.001182556,60.001182556
31,22.5603256,60.001182556,60.001182556,60.001182556
32,60.001182556,60.001182556,60.001182556,18.2802277
33,44.9608383,60.001182556,16.08017731,26.1204071
34,60.001182556,60.001182556,58.5611496,60.001182556
35,60.001182556,60.001182556,19.4802551,4.7999964
36,60.001182556,60.001182556,60.001182556,60.001182556
37,60.001182556,60.001182556,60.001182556,22.2403183
38,4.3999968,60.001182556,5.159996,4.159997
39,60.001182556,60.001182556,60.001182556,60.001182556
40,60.001182556,60.001182556,60.001182556,60.001182556
41,3.879997,60.001182556,3.879997,20.8402863
42,60.001182556,60.001182556,60.001182556,60.001182556
43,60.001182556,4.9599962,60.001182556,60.001182556
44,56.6011047,11.1600657,43.8408127,18.6402359
45,60.001182556,60.001182556,47.1608887,13.5201197
46,5.6799955,60.001182556,20.8002853,15.1601572
47,60.001182556,60.001182556,60.001182556,60.001182556
48,10.04004002,60.001182556,5.5199957,9.7200327
49,60.001182556,60.001182556,60.001182556,60.001182556
50,7.5599937,60.001182556,9.6000299,9.5200281
51,60.001182556,16.6001892,55.6410828,55.5610809
52,60.001182556,60.001182556,60.001182556,33.7205811
53,60.001182556,60.001182556,39.920723,15.0001535416
54,60.001182556,8.5600061,10.2800455,10.1200418
55,60.001182556,60.001182556,52.7610168,60.001182556
56,60.001182556,60.001182556,24.7203751,24.6403732
57,60.001182556,14.9601526,30.7205124,5.1199961
58,60.001182556,6.07999516,5.2799959,23.8803558
59,60.001182556,60.001182556,60.001182556,60.001182556
60,60.001182556,60.001182556,5.3599958,14.5201426
61,8.1999979,60.001182556,11.2000666,25.04038239
62,60.001182556,60.001182556,60.001182556,60.001182556
63,60.001182556,52.5610123,60.001182556,10.2400446
64,6.5199947,60.001182556,22.6003265,22.4803238
65,60.001182556,60.001182556,53.9210434,8.7200098
66,60.001182556,27.5604401,47.2408905,47.1208878
67,14.8801508,60.001182556,9.04001713,8.9200144
68,60.001182556,60.001182556,26.04040527,15.2001581
69,16.7601929,60.001182556,31.8805389,56.6011047
70,60.001182556,13.840127,36.4406433,36.3206406
71,7.6799936,11.5600748,11.3200693,60.001182556
72,60.001182556,60.001182556,53.5210342,53.4410324
73,60.001182556,60.001182556,60.001182556,60.001182556
74,60.001182556,60.001182556,12.9601068,12.9601068
75,60.001182556,60.001182556,60.001182556,60.001182556
76,60.001182556,27.8004456,60.001182556,60.001182556
77,60.001182556,60.001182556,26.8804245,29.480484
78,60.001182556,60.001182556,60.001182556,60.001182556
79,60.001182556,60.001182556,13.0001077652,15.7601709
80,5.3199959,4.9199963,4.6799965,4.5999966
81,4.1999969,60.001182556,60.001182556,60.001182556
